park_name,cluster,peak_hour,total_visitors
Banpo Hangang Park,0,17,37787.67114668277
Children's Grand Park,1,15,121331.70460837612
Dream Forest,1,22,105892.21974730695
Gangseo Hangang Park,0,17,1534.921348031813
Gwangnaru Hangang Park,0,10,78812.75105708245
Ichon Hangang Park,0,18,64533.76705174671
Jamsil Hangang Park,1,8,34894.33655491795
Jamwon Hangang Park,0,16,23737.61036444176
Mangwon Hangang Park,1,17,31308.522098056983
Namsan Park,0,14,250862.8580237592
Nanji Hangang Park,0,17,24072.20640793316
Seoul Forest,0,16,120053.63026024363
Seoul Grand Park,2,14,31222.377114164905
The National Museum of KoreaÂ·Yongsan Family Park,0,15,32426.04613409846
Ttukseom Hangang Park,1,8,38536.95168042552
World Cup Park,0,16,140573.40776955604
Yanghwa Hangang Park,0,18,15097.47300664452
Yeouido Hangang Park,2,15,54705.25596496527
